class,f1
Apple___Apple_scab,0.9947089947089947
Apple___Black_rot,0.9946524064171123
Apple___Cedar_apple_rust,0.9761904761904762
Apple___healthy,0.9979716024340771
Blueberry___healthy,0.9955555555555555
Cherry_(including_sour)___Powdery_mildew,0.9873417721518988
Cherry_(including_sour)___healthy,1.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9014084507042254
Corn_(maize)___Common_rust_,1.0
Corn_(maize)___Northern_Leaf_Blight,0.9545454545454546
Corn_(maize)___healthy,1.0
Grape___Black_rot,0.9943181818181818
Grape___Esca_(Black_Measles),0.9951923076923077
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0
Grape___healthy,0.992
Orange___Haunglongbing_(Citrus_greening),1.0
Peach___Bacterial_spot,0.997093023255814
Peach___healthy,0.972972972972973
"Pepper,_bell___Bacterial_spot",0.9830508474576272
"Pepper,_bell___healthy",0.9932885906040269
Potato___Early_blight,1.0
Potato___Late_blight,0.9933333333333333
Potato___healthy,1.0
Raspberry___healthy,0.9821428571428571
Soybean___healthy,0.9980353634577603
Squash___Powdery_mildew,1.0
Strawberry___Leaf_scorch,1.0
Strawberry___healthy,0.9925925925925926
Tomato___Bacterial_spot,0.9953051643192489
Tomato___Early_blight,0.9395973154362416
Tomato___Late_blight,0.962457337883959
Tomato___Leaf_Mold,0.974910394265233
Tomato___Septoria_leaf_spot,0.975609756097561
Tomato___Spider_mites Two-spotted_spider_mite,0.984
Tomato___Target_Spot,0.9783132530120482
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9937888198757764
Tomato___Tomato_mosaic_virus,1.0
Tomato___healthy,0.9979123173277662
